Distance,Gender,Catergory,TimeFrom,TimeTo,Points
21,Male,Grand Master,00:00:00,02:30:00,10
21,Male,Grand Master,02:30:01,02:37:30,9
21,Male,Grand Master,02:37:31,02:45:00,8
21,Male,Grand Master,02:45:01,02:52:30,7
21,Male,Grand Master,02:52:31,03:00:00,6
21,Male,Grand Master,03:00:01,03:07:30,5
21,Male,Grand Master,03:07:31,03:15:00,4
21,Male,Grand Master,03:15:01,03:22:30,3
21,Male,Grand Master,03:22:31,03:30:00,2
21,Male,Grand Master,03:30:01,Finisher,1
21,Male,Great Grand Master,00:00:00,02:42:00,10
21,Male,Great Grand Master,02:42:01,02:48:00,9
21,Male,Great Grand Master,02:48:01,02:54:00,8
21,Male,Great Grand Master,02:54:01,03:00:00,7
21,Male,Great Grand Master,03:00:01,03:06:00,6
21,Male,Great Grand Master,03:06:01,03:12:00,5
21,Male,Great Grand Master,03:12:01,03:18:00,4
21,Male,Great Grand Master,03:18:01,03:24:00,3
21,Male,Great Grand Master,03:24:01,03:30:00,2
21,Male,Great Grand Master,03:30:01,Finisher,1
16,Male,Junior,00:00:00,02:13:52,10
16,Male,Junior,02:13:53,02:29:19,9
16,Male,Junior,02:29:20,02:44:46,8
16,Male,Junior,02:44:47,03:00:12,7
16,Male,Junior,03:00:13,03:15:39,6
16,Male,Junior,03:15:40,03:31:06,5
16,Male,Junior,03:31:07,03:46:33,4
16,Male,Junior,03:46:34,04:03:07,3
16,Male,Junior,04:03:08,Finisher,1
16,Male,Senior,00:00:00,02:13:52,10
16,Male,Senior,02:13:53,02:29:19,9
16,Male,Senior,02:29:20,02:44:46,8
16,Male,Senior,02:44:47,03:00:12,7
16,Male,Senior,03:00:13,03:15:39,6
16,Male,Senior,03:15:40,03:31:06,5
16,Male,Senior,03:31:07,03:46:33,4
16,Male,Senior,03:46:34,04:03:07,3
16,Male,Senior,04:03:08,Finisher,1
16,Male,Veteran,00:00:00,02:29:19,10
16,Male,Veteran,02:29:20,02:46:33,9
16,Male,Veteran,02:46:34,03:03:46,8
16,Male,Veteran,03:03:47,03:21:00,7
16,Male,Veteran,03:21:01,03:38:14,6
16,Male,Veteran,03:38:15,03:55:28,5
16,Male,Veteran,03:55:29,Finisher,1
16,Male,Master,00:00:00,02:44:46,10
16,Male,Master,02:44:47,03:03:46,9
16,Male,Master,03:03:47,03:22:47,8
16,Male,Master,03:22:48,03:41:48,7
16,Male,Master,03:41:49,04:00:48,6
16,Male,Master,04:00:49,Finisher,1
16,Male,Grand Master,00:00:00,02:57:38,10
16,Male,Grand Master,02:57:39,03:18:08,9
16,Male,Grand Master,03:18:09,03:38:38,8
16,Male,Grand Master,03:38:39,03:59:07,7
16,Male,Grand Master,03:59:08,Finisher,1
16,Male,Great Grand Master,00:00:00,03:09:13,10
16,Male,Great Grand Master,03:09:14,03:31:03,9
16,Male,Great Grand Master,03:31:04,03:52:53,8
16,Male,Great Grand Master,03:52:54,Finisher,1
32,Male,Junior,00:00:00,02:53:43,10
32,Male,Junior,02:53:44,03:12:00,9
32,Male,Junior,03:12:01,03:30:17,8
32,Male,Junior,03:30:18,03:48:34,7
32,Male,Junior,03:48:35,04:06:51,6
32,Male,Junior,04:06:52,04:25:09,5
32,Male,Junior,04:25:10,04:43:26,4
32,Male,Junior,04:43:27,Finisher,1
32,Male,Senior,00:00:00,02:53:43,10
32,Male,Senior,02:53:44,03:12:00,9
32,Male,Senior,03:12:01,03:30:17,8
32,Male,Senior,03:30:18,03:48:34,7
32,Male,Senior,03:48:35,04:06:51,6
32,Male,Senior,04:06:52,04:25:09,5
32,Male,Senior,04:25:10,04:43:26,4
32,Male,Senior,04:43:27,Finisher,1
32,Male,Veteran,00:00:00,03:12:00,10
32,Male,Veteran,03:12:01,03:28:00,9
32,Male,Veteran,03:28:01,03:44:00,8
32,Male,Veteran,03:44:01,04:00:00,7
32,Male,Veteran,04:00:01,04:16:00,6
32,Male,Veteran,04:16:01,04:32:00,5
32,Male,Veteran,04:32:01,04:48:00,4
32,Male,Veteran,04:48:01,Finisher,1
32,Male,Master,00:00:00,03:30:17,10
32,Male,Master,03:30:18,03:44:00,9
32,Male,Master,03:44:01,03:57:43,8
32,Male,Master,03:57:44,04:11:26,7
32,Male,Master,04:11:27,04:25:09,6
32,Male,Master,04:25:10,04:38:51,5
32,Male,Master,04:38:52,04:52:34,4
32,Male,Master,04:52:35,Finisher,1
32,Male,Grand Master,00:00:00,03:48:34,10
32,Male,Grand Master,03:48:35,04:00:00,9
32,Male,Grand Master,04:00:01,04:11:26,8
32,Male,Grand Master,04:11:27,04:22:51,7
32,Male,Grand Master,04:22:52,04:34:17,6
32,Male,Grand Master,04:34:18,04:45:43,5
32,Male,Grand Master,04:45:44,04:57:09,4
32,Male,Grand Master,04:57:10,Finisher,1
32,Male,Great Grand Master,00:00:00,04:06:51,10
32,Male,Great Grand Master,04:06:52,04:16:00,9
32,Male,Great Grand Master,04:16:01,04:25:09,8
32,Male,Great Grand Master,04:25:10,04:34:17,7
32,Male,Great Grand Master,04:34:18,04:43:26,6
32,Male,Great Grand Master,04:43:27,04:52:34,5
32,Male,Great Grand Master,04:52:35,05:01:43,4
32,Male,Great Grand Master,05:01:44,Finisher,1
42,Male,Junior,00:00:00,03:48:00,10
42,Male,Junior,03:48:01,04:12:00,9
42,Male,Junior,04:12:01,04:36:00,8
42,Male,Junior,04:36:01,05:00:00,7
42,Male,Junior,05:00:01,05:24:00,6
42,Male,Junior,05:24:01,05:48:00,5
42,Male,Junior,05:48:01,06:12:00,4
42,Male,Junior,06:12:01,Finisher,1
42,Male,Senior,00:00:00,03:48:00,10
42,Male,Senior,03:48:01,04:12:00,9
42,Male,Senior,04:12:01,04:36:00,8
42,Male,Senior,04:36:01,05:00:00,7
42,Male,Senior,05:00:01,05:24:00,6
42,Male,Senior,05:24:01,05:48:00,5
42,Male,Senior,05:48:01,06:12:00,4
42,Male,Senior,06:12:01,Finisher,1
42,Male,Veteran,00:00:00,04:12:00,10
42,Male,Veteran,04:12:01,04:33:00,9
42,Male,Veteran,04:33:01,04:54:00,8
42,Male,Veteran,04:54:01,05:15:00,7
42,Male,Veteran,05:15:01,05:36:00,6
42,Male,Veteran,05:36:01,05:57:00,5
42,Male,Veteran,05:57:01,06:18:00,4
42,Male,Veteran,06:18:01,Finisher,1
42,Male,Master,00:00:00,04:36:00,10
42,Male,Master,04:36:01,04:54:00,9
42,Male,Master,04:54:01,05:12:00,8
42,Male,Master,05:12:01,05:30:00,7
42,Male,Master,05:30:01,05:48:00,6
42,Male,Master,05:48:01,06:06:00,5
42,Male,Master,06:06:01,06:24:00,4
42,Male,Master,06:24:01,Finisher,1
42,Male,Grand Master,00:00:00,05:00:00,10
42,Male,Grand Master,05:00:01,05:15:00,9
42,Male,Grand Master,05:15:01,05:30:00,8
42,Male,Grand Master,05:30:01,05:45:00,7
42,Male,Grand Master,05:45:01,06:00:00,6
42,Male,Grand Master,06:00:01,06:15:00,5
42,Male,Grand Master,06:15:01,06:30:00,4
42,Male,Grand Master,06:30:01,Finisher,1
42,Male,Great Grand Master,00:00:00,05:24:00,10
42,Male,Great Grand Master,05:24:01,05:36:00,9
42,Male,Great Grand Master,05:36:01,05:48:00,8
42,Male,Great Grand Master,05:48:01,06:00:00,7
42,Male,Great Grand Master,06:00:01,06:12:00,6
42,Male,Great Grand Master,06:12:01,06:24:00,5
42,Male,Great Grand Master,06:24:01,06:36:00,4
42,Male,Great Grand Master,06:36:01,Finisher,1
5,Female,Junior,00:00:00,00:32:30,10
5,Female,Junior,00:32:31,00:34:37,9
5,Female,Junior,00:34:38,00:36:45,8
5,Female,Junior,00:36:46,00:38:53,7
5,Female,Junior,00:38:53,00:41:00,6
5,Female,Junior,00:41:01,00:43:08,5
5,Female,Junior,00:43:09,00:45:15,4
5,Female,Junior,00:45:16,00:47:23,3
5,Female,Junior,00:47:24,00:49:00,2
5,Female,Junior,00:49:01,Finisher,1
5,Female,Senior,00:00:00,00:32:30,10
5,Female,Senior,00:32:31,00:34:37,9
5,Female,Senior,00:34:38,00:36:45,8
5,Female,Senior,00:36:46,00:38:53,7
5,Female,Senior,00:38:53,00:41:00,6
5,Female,Senior,00:41:01,00:43:08,5
5,Female,Senior,00:43:09,00:45:15,4
5,Female,Senior,00:45:16,00:47:23,3
5,Female,Senior,00:47:24,00:49:00,2
5,Female,Senior,00:49:01,Finisher,1
5,Female,Veteran,00:00:00,00:34:30,10
5,Female,Veteran,00:34:31,00:36:22,9
5,Female,Veteran,00:36:23,00:38:15,8
5,Female,Veteran,00:38:16,00:40:07,7
5,Female,Veteran,00:40:08,00:42:00,6
5,Female,Veteran,00:42:01,00:43:52,5
5,Female,Veteran,00:43:53,00:45:45,4
5,Female,Veteran,00:45:46,00:47:37,3
5,Female,Veteran,00:47:38,00:49:15,2
5,Female,Veteran,00:49:16,Finisher,1
5,Female,Master,00:00:00,00:36:00,10
5,Female,Master,00:36:01,00:37:45,9
5,Female,Master,00:37:46,00:39:30,8
5,Female,Master,00:39:31,00:41:15,7
5,Female,Master,00:41:16,00:43:00,6
5,Female,Master,00:43:01,00:44:45,5
5,Female,Master,00:44:46,00:46:30,4
5,Female,Master,00:46:31,00:48:15,3
5,Female,Master,00:48:16,00:50:00,2
5,Female,Master,00:50:01,Finisher,1
5,Female,Grand Master,00:00:00,00:37:00,10
5,Female,Grand Master,00:37:01,00:38:37,9
5,Female,Grand Master,00:38:38,00:40:15,8
5,Female,Grand Master,00:40:16,00:41:52,7
5,Female,Grand Master,00:41:53,00:43:30,6
5,Female,Grand Master,00:43:31,00:45:08,5
5,Female,Grand Master,00:45:09,00:46:45,4
5,Female,Grand Master,00:46:46,00:48:22,3
5,Female,Grand Master,00:48:23,00:50:00,2
5,Female,Grand Master,00:50:01,Finisher,1
5,Female,Great Grand Master,00:00:00,00:38:00,10
5,Female,Great Grand Master,00:38:01,00:39:30,9
5,Female,Great Grand Master,00:39:31,00:41:00,8
5,Female,Great Grand Master,00:41:01,00:42:30,7
5,Female,Great Grand Master,00:42:31,00:44:00,6
5,Female,Great Grand Master,00:44:01,00:45:30,5
5,Female,Great Grand Master,00:45:31,00:47:00,4
5,Female,Great Grand Master,00:47:01,00:48:30,3
5,Female,Great Grand Master,00:48:31,00:50:00,2
5,Female,Great Grand Master,00:50:01,Finisher,1
10,Female,Junior,00:00:00,01:05:00,10
10,Female,Junior,01:05:01,01:09:15,9
10,Female,Junior,01:09:16,01:13:30,8
10,Female,Junior,01:13:31,01:17:45,7
10,Female,Junior,01:17:46,01:22:00,6
10,Female,Junior,01:22:01,01:26:15,5
10,Female,Junior,01:26:16,01:30:30,4
10,Female,Junior,01:30:31,01:34:45,3
10,Female,Junior,01:34:46,01:38:00,2
10,Female,Junior,01:38:01,Finisher,1
10,Female,Senior,00:00:00,01:05:00,10
10,Female,Senior,01:05:01,01:09:15,9
10,Female,Senior,01:09:16,01:13:30,8
10,Female,Senior,01:13:31,01:17:45,7
10,Female,Senior,01:17:46,01:22:00,6
10,Female,Senior,01:22:01,01:26:15,5
10,Female,Senior,01:26:16,01:30:30,4
10,Female,Senior,01:30:31,01:34:45,3
10,Female,Senior,01:34:46,01:38:00,2
10,Female,Senior,01:38:01,Finisher,1
10,Female,Veteran,00:00:00,01:09:00,10
10,Female,Veteran,01:09:01,01:12:45,9
10,Female,Veteran,01:12:46,01:16:30,8
10,Female,Veteran,01:16:31,01:20:15,7
10,Female,Veteran,01:20:16,01:24:00,6
10,Female,Veteran,01:24:01,01:27:45,5
10,Female,Veteran,01:27:46,01:31:30,4
10,Female,Veteran,01:31:31,01:35:15,3
10,Female,Veteran,01:35:16,01:38:30,2
10,Female,Veteran,01:38:31,Finisher,1
10,Female,Master,00:00:00,01:12:00,10
10,Female,Master,01:12:01,01:15:30,9
10,Female,Master,01:15:31,01:19:00,8
10,Female,Master,01:19:01,01:22:30,7
10,Female,Master,01:22:31,01:26:00,6
10,Female,Master,01:26:01,01:29:30,5
10,Female,Master,01:29:31,01:33:00,4
10,Female,Master,01:33:01,01:36:30,3
10,Female,Master,01:36:31,01:40:00,2
10,Female,Master,01:40:01,Finisher,1
10,Female,Grand Master,00:00:00,01:14:00,10
10,Female,Grand Master,01:14:01,01:17:15,9
10,Female,Grand Master,01:17:16,01:20:30,8
10,Female,Grand Master,01:20:31,01:23:45,7
10,Female,Grand Master,01:23:46,01:27:00,6
10,Female,Grand Master,01:27:01,01:30:15,5
10,Female,Grand Master,01:30:16,01:33:30,4
10,Female,Grand Master,01:33:31,01:36:45,3
10,Female,Grand Master,01:36:46,01:40:00,2
10,Female,Grand Master,01:40:01,Finisher,1
10,Female,Great Grand Master,00:00:00,01:16:00,10
10,Female,Great Grand Master,01:16:01,01:19:00,9
10,Female,Great Grand Master,01:19:01,01:22:00,8
10,Female,Great Grand Master,01:22:01,01:25:00,7
10,Female,Great Grand Master,01:25:01,01:28:00,6
10,Female,Great Grand Master,01:28:01,01:31:00,5
10,Female,Great Grand Master,01:31:01,01:34:00,4
10,Female,Great Grand Master,01:34:01,01:37:00,3
10,Female,Great Grand Master,01:37:01,01:40:00,2
10,Female,Great Grand Master,01:40:01,Finisher,1
8,Female,Junior,00:00:00,01:23:40,10
8,Female,Junior,01:23:41,01:33:19,9
8,Female,Junior,01:33:20,01:42:59,8
8,Female,Junior,01:43:00,01:52:38,7
8,Female,Junior,01:52:39,02:02:17,6
8,Female,Junior,02:02:18,02:11:56,5
8,Female,Junior,02:11:57,02:21:36,4
8,Female,Junior,02:21:37,02:31:15,3
8,Female,Junior,02:31:16,Finisher,1
8,Female,Senior,00:00:00,01:23:40,10
8,Female,Senior,01:23:41,01:33:19,9
8,Female,Senior,01:33:20,01:42:59,8
8,Female,Senior,01:43:00,01:52:38,7
8,Female,Senior,01:52:39,02:02:17,6
8,Female,Senior,02:02:18,02:11:56,5
8,Female,Senior,02:11:57,02:21:36,4
8,Female,Senior,02:21:37,02:31:15,3
8,Female,Senior,02:31:16,Finisher,1
8,Female,Veteran,00:00:00,01:28:49,10
8,Female,Veteran,01:28:50,01:39:04,9
8,Female,Veteran,01:39:05,01:49:19,8
